,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
115,17094150040000,"4,479,785","6,723,578","-2,243,793",-0.50,5-91,South Chicago,228 W LAKE ST,"228 W LAKE ST Cook County, IL","(41.8860317, -87.6349474)",41.8860317,-87.6349474
116,17084370120000,"10,104,956","12,274,096","-2,169,140",-0.21,5-91,West Chicago,110 N CARPENTER ST,"110 N CARPENTER ST Cook County, IL","(41.8831628, -87.65335999999999)",41.8831628,-87.65335999999999
117,17093020020000,"7,145,909","9,298,800","-2,152,891",-0.30,3-91,West Chicago,353 N DESPLAINES ST,"353 N DESPLAINES ST Cook County, IL","(41.8883403, -87.643546)",41.8883403,-87.643546
118,17101230160000,"3,078,395","5,219,402","-2,141,007",-0.70,3-91,North Chicago,505 N STATE ST,"505 N STATE ST Cook County, IL","(41.8911047, -87.62704029999999)",41.8911047,-87.62704029999999
119,17091230110000,"5,797,470","7,872,170","-2,074,700",-0.36,3-91,North Chicago,452 W ERIE ST,"452 W ERIE ST Cook County, IL","(41.8941593, -87.6406109)",41.8941593,-87.6406109
120,17101330090000,"8,272,528","10,319,163","-2,046,635",-0.25,7-91,North Chicago,422 N MICHIGAN AVE,"422 N MICHIGAN AVE Cook County, IL","(41.8903068, -87.6246766)",41.8903068,-87.6246766
121,17094210060000,"9,526,587","11,565,561","-2,038,974",-0.21,5-91,South Chicago,73 W WACKER DR,"73 W WACKER DR Cook County, IL","(41.8865018, -87.63057210000001)",41.8865018,-87.63057210000001
122,17094210070000,"9,519,087","11,558,061","-2,038,974",-0.21,5-91,South Chicago,71 W WACKER DR,"71 W WACKER DR Cook County, IL","(41.8865018, -87.63047379999999)",41.8865018,-87.63047379999999
123,17094210080000,"9,519,087","11,558,061","-2,038,974",-0.21,5-91,South Chicago,69 W WACKER DR,"69 W WACKER DR Cook County, IL","(41.8865017, -87.63037609999999)",41.8865017,-87.63037609999999
124,17164040010000,"2,157,024","4,195,949","-2,038,925",-0.95,5-91,South Chicago,601 S LA SALLE ST,"601 S LA SALLE ST Cook County, IL","(41.8742551, -87.6314834)",41.8742551,-87.6314834
125,17042130120000,"3,789,275","5,810,181","-2,020,906",-0.53,3-91,North Chicago,213 W SCHILLER ST,"213 W SCHILLER ST Cook County, IL","(41.9074866, -87.6353013)",41.9074866,-87.6353013
126,17282140160000,"3,992,253","5,995,007","-2,002,754",-0.50,5-29,South Chicago,2335 S WENTWORTH AVE,"2335 S WENTWORTH AVE Cook County, IL","(41.8500115, -87.6318237)",41.8500115,-87.6318237
127,17162270220000,"3,841,090","5,840,883","-1,999,793",-0.52,5-91,South Chicago,300 W JACKSON BLVD,"300 W JACKSON BLVD Cook County, IL","(41.8779022, -87.6383919)",41.8779022,-87.6383919
128,17162270280000,"3,428,671","5,428,464","-1,999,793",-0.58,5-91,South Chicago,330 S FRANKLIN ST,"330 S FRANKLIN ST Cook County, IL","(41.8775287, -87.6353644)",41.8775287,-87.6353644
