URL,Tags
https://therealdeal.com/chicago/2022/10/25/two-units-sold-together-at-one-chicago-are-quickly-back-on-the-market/,"subscriber-inline,housing market,luxury real estate,one chicago,residential real estate"
https://therealdeal.com/chicago/2022/10/25/synergy-construction-bringing-apartments-to-mundelein/,"meter,chicago suburbs,multifamily,mundelein"
https://therealdeal.com/chicago/2022/10/25/movers-bradford-allen-subdivides-loft-leasing-duties-and-more/,"meter,colliers,east loop,greenstone partners,pgim"
https://therealdeal.com/chicago/2022/10/25/arlington-school-district-gives-bears-tif-plan-an-f/,"meter,arlington heights,chicago bears,property taxes,suburban chicago"
https://therealdeal.com/chicago/2022/10/25/30m-affordable-housing-project-pitched-for-rogers-park/,"meter,affordable housing,cta,red line,rogers park"
https://therealdeal.com/chicago/2022/10/24/northwestern-medicine-converting-streeterville-hyatt-floors-into-clinics/,"meter,health care,hotel market,magnificent mile,northwestern medicine,streeterville"
https://therealdeal.com/chicago/2022/10/24/mavrek-proposes-mixed-use-tower-for-west-loop/,"meter,development,mavrek development,mixed-use,west loop"
https://therealdeal.com/chicago/2022/10/24/lake-geneva-home-sells-for-17m-in-second-priciest-deal-ever/,"meter,lake geneva,luxury housing"
https://therealdeal.com/chicago/2022/10/24/baxter-credit-union-buys-its-own-north-suburban-offices-for-41-5m/,"subscriber-inline,jms capital group,lake county,office market,suburban chicago"
https://therealdeal.com/chicago/2022/10/21/september-slowdown-hits-chicago-housing-sales-harder/,"subscriber-inline,housing market,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/10/21/plan-commission-approves-2700-units-across-6-towers-downtown/,"meter,draper and kramer,fulton market,golub,jeff shapack,multifamily market"
https://therealdeal.com/chicago/2022/10/21/gaw-capital-set-to-lose-big-on-ambassador-chicago-hotel/,"meter,chicago hotels,gold coast"
https://therealdeal.com/chicago/2022/10/21/carpentersville-residents-protest-industrial-development/,"meter,carpentersville,chicago suburbs,industrial real estate"
https://therealdeal.com/chicago/2022/10/21/amcap-picks-up-suburban-chicago-shopping-center-for-19m/,"meter,commercial real estate,grocery stores,retail market,suburban chicago"
